GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coffeeMachine,fr.imt.coffee_machine.exception,CannotMakeCremaWithSimpleCoffeeMachine,4,0,0,0,2,0,1,0,1,0
coffeeMachine,fr.imt.coffee_machine.exception,CoffeeTypeCupDifferentOfCoffeeTypeTankException,0,4,0,0,0,2,0,1,0,1
coffeeMachine,fr.imt.coffee_machine.exception,MachineNotPluggedException,0,4,0,0,0,2,0,1,0,1
coffeeMachine,fr.imt.coffee_machine.exception,LackOfWaterInTankException,0,4,0,0,0,2,0,1,0,1
coffeeMachine,fr.imt.coffee_machine.component,Tank,0,35,0,0,0,12,0,6,0,6
coffeeMachine,fr.imt.coffee_machine.component,WaterPump,3,37,0,0,1,11,1,3,1,3
coffeeMachine,fr.imt.coffee_machine.component,WaterTank,0,6,0,0,0,2,0,1,0,1
coffeeMachine,fr.imt.coffee_machine.component,SteamPipe,0,17,0,0,0,8,0,4,0,4
coffeeMachine,fr.imt.coffee_machine.component,BeanTank,4,19,0,0,2,7,1,3,1,3
coffeeMachine,fr.imt.coffee_machine.component,ElectricalResistance,3,38,0,0,1,10,1,3,1,3
coffeeMachine,fr.imt.coffee_machine.component,CoffeeGrinder,0,32,0,0,0,10,0,3,0,3
coffeeMachine,fr.imt.coffee_machine,EspressoCoffeeMachine,9,122,4,14,1,25,4,7,0,2
coffeeMachine,fr.imt.coffee_machine,CoffeeMachine,116,134,13,5,30,35,13,17,5,16
